Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,spx_1bf_eps,spx_1bf_sales,tsx_1bf_eps,tsx_1bf_sales
2003-11-30,79.693865,416.878787,97.762203,7859.39,16.32,422.961,0.5082,-0.17077,6.3,0.4669,0.06,1.0,61.7066,678.2732,562.8038,6070.9267
2003-12-01,77.708959,408.256215,96.417391,7924.57,16.77,423.51,0.54558,-0.14584,6.3,0.4669,0.06,1.0,61.7555,678.9057,561.5209,6060.0696
2003-12-02,72.00824,406.167585,96.007426,7927.6,16.27,424.467,0.55356,-0.14511,6.3,0.4867,0.06,1.0,61.7516,679.3277,562.3258,6069.3294
2003-12-03,74.852232,395.833459,95.27059,7959.88,16.63,428.964,0.55758,-0.15041,6.3,0.4867,0.06,1.0,61.7749,682.486,562.7317,6093.7701
2003-12-04,75.0055,396.013921,95.470433,7993.34,16.3,426.817,0.55321,-0.14966,6.3,0.4797,0.06,1.0,61.7788,682.9808,563.7137,6111.2659
2003-12-05,66.455945,409.127001,96.816591,7990.28,17.09,417.689,0.53935,-0.14891,6.3,0.4083,0.12,1.0,61.8254,684.584,563.2881,6104.8705
2003-12-08,71.188723,400.210849,97.487098,7990.77,16.54,419.886,0.53665,-0.14817,6.3,0.4083,0.12,1.0,61.8777,684.7985,564.0781,6111.3395
2003-12-09,76.628956,391.074532,96.629345,7975.94,17.63,426.181,0.54534,-0.14743,6.3,0.3745,0.12,1.0,61.8975,684.8564,563.0322,6126.8381
2003-12-10,67.905224,394.8719,97.321516,7887.12,17.87,425.313,0.54261,-0.14669,6.3,0.3745,0.12,1.0,61.8506,684.889,561.5748,6128.5895
2003-12-11,67.66342,406.3082,98.820067,7956.18,16.73,421.314,0.56148,-0.13406,6.3,0.3707,0.12,1.0,61.9061,684.3905,562.6231,6109.7603
2003-12-12,66.262961,404.251163,98.293708,7979.2,16.41,419.678,0.53646,-0.13339,6.3,0.3707,0.13,1.0,61.9725,684.7675,564.3069,6112.4724
2003-12-15,67.004365,401.128752,97.376894,7932.11,17.23,420.186,0.54616,-0.13272,6.3,0.353,0.13,1.0,62.0464,684.9843,564.4554,6124.7729
2003-12-16,66.488481,406.06406,97.808814,7987.25,15.93,417.07,0.57693,-0.36619,6.3,0.4308,0.13,1.0,62.0659,685.411,564.5796,6136.3833
2003-12-17,64.630304,402.513338,97.476394,8040.17,15.58,413.028,0.57404,-0.36436,6.3,0.4308,0.13,1.0,62.1114,686.5371,566.3894,6155.616
2003-12-18,64.40403,403.187352,96.739233,8124.66,16.16,406.595,0.58473,-0.36254,6.3,0.4407,0.13,1.0,62.2216,686.8785,571.4045,6158.6921
2003-12-19,69.327974,402.622473,96.420352,8113.82,16.42,408.935,0.5818,-0.36073,6.3,0.4407,0.08,1.0,62.2857,687.0488,569.5113,6171.8457
