Date,Actual,Predicted,Deviation,Actual_t+10,Actual_t+30,Actual_t+60,Actual_t+90
2008-07-02,172.9024,163.9267,8.9757,175.8631,177.818,198.1831,245.4849
2008-06-27,171.2387,162.4331,8.8056,174.0248,177.5017,190.9155,231.6598
2008-06-26,170.0012,161.6235,8.3778,174.0248,177.5017,186.7046,227.5316
2008-06-30,170.7623,162.6717,8.0906,175.1984,176.913,198.1831,240.2943
2008-07-01,171.9658,164.0493,7.9165,175.112,177.0386,198.1831,240.2943
2008-07-15,180.1006,172.9495,7.1511,180.8582,178.956,206.812,294.4711
2008-06-06,168.0422,161.9097,6.1324,165.4804,174.0248,177.2323,205.0624
2008-07-03,172.9558,167.5403,5.4156,175.8631,177.7487,198.1831,254.9688
2008-06-04,166.1552,161.0702,5.085,165.4804,172.9558,177.7487,201.0437
2008-05-23,163.0462,158.3946,4.6516,164.6673,164.2159,178.0667,185.0627
