Metric,Value
Start,2007-10-31 00:00:00
End,2025-07-31 00:00:00
Period,6420 days 00:00:00
Start Value,100.0
End Value,132.50854446179181
Total Return [%],32.508544461791814
Benchmark Return [%],32.50854446179192
Max Gross Exposure [%],100.0
Total Fees Paid,0.0
Max Drawdown [%],13.147722298971159
Max Drawdown Duration,690 days 00:00:00
Total Trades,1
Total Closed Trades,0
Total Open Trades,1
Open Trade PnL,32.508544461791814
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg Winning Trade [%],
Avg Losing Trade [%],
Avg Winning Trade Duration,
Avg Losing Trade Duration,
Profit Factor,
Expectancy,
Sharpe Ratio,0.5142557002277965
Calmar Ratio,0.1226958225467069
Omega Ratio,1.6417080287188808
Sortino Ratio,0.6800515053954405
