Metric,Value
Start,2007-10-31 00:00:00
End,2025-07-31 00:00:00
Period,6420 days 00:00:00
Start Value,100.0
End Value,182.98811649418838
Total Return [%],82.98811649418836
Benchmark Return [%],32.50854446179192
Max Gross Exposure [%],100.0
Total Fees Paid,0.0
Max Drawdown [%],1.6704361842880908
Max Drawdown Duration,570 days 00:00:00
Total Trades,35
Total Closed Trades,34
Total Open Trades,1
Open Trade PnL,0.0
Win Rate [%],85.29411764705883
Best Trade [%],17.482425260679705
Worst Trade [%],-0.7359435387272011
Avg Winning Trade [%],2.2198282970860275
Avg Losing Trade [%],-0.3467086243862947
Avg Winning Trade Duration,136 days 13:14:28.965517242
Avg Losing Trade Duration,54 days 00:00:00
Profit Factor,27.927476373060085
Expectancy,2.4408269557114224
Sharpe Ratio,2.011567666243694
Calmar Ratio,2.092312461610696
Omega Ratio,14.169672728949495
Sortino Ratio,9.238344402072721
