Date,equity_curve
2003-12-05,1.0
2003-12-12,1.0
2003-12-19,1.0
2003-12-26,1.0
2004-01-02,1.0
2004-01-09,1.0
2004-01-16,1.0
2004-01-23,1.0
2004-01-30,1.0
2004-02-06,1.0
2004-02-13,1.0
2004-02-20,1.0
2004-02-27,1.0
2004-03-05,1.0
2004-03-12,1.0
2004-03-19,1.0
2004-03-26,1.0
2004-04-02,1.0
2004-04-09,1.0
2004-04-16,1.0
2004-04-23,1.0
2004-04-30,1.0
2004-05-07,1.0
2004-05-14,1.0
2004-05-21,1.0
2004-05-28,1.0
2004-06-04,1.0
2004-06-11,1.0
2004-06-18,1.0
2004-06-25,1.0
2004-07-02,1.0
2004-07-09,1.0
2004-07-16,1.0
2004-07-23,1.0
2004-07-30,1.0
2004-08-06,1.0
2004-08-13,1.0
2004-08-20,1.0
2004-08-27,1.0
2004-09-03,1.0
2004-09-10,1.0
2004-09-17,1.0
2004-09-24,1.0
2004-10-01,1.0
2004-10-08,1.0
2004-10-15,1.0
2004-10-22,1.0
2004-10-29,1.0
2004-11-05,1.0
2004-11-12,1.0
2004-11-19,1.0
2004-11-26,1.0
2004-12-03,1.0
2004-12-10,1.0
2004-12-17,1.0
2004-12-24,1.0
2004-12-31,1.0
2005-01-07,1.0
2005-01-14,1.0
2005-01-21,1.0
2005-01-28,1.0
2005-02-04,1.0
2005-02-11,1.0
2005-02-18,1.0
2005-02-25,1.0
2005-03-04,1.0
2005-03-11,1.0
2005-03-18,1.0
2005-03-25,1.0
2005-04-01,1.0
2005-04-08,1.0
2005-04-15,1.0
2005-04-22,1.0
2005-04-29,1.0
2005-05-06,1.0
2005-05-13,1.0
2005-05-20,1.0
2005-05-27,1.0
2005-06-03,1.0
2005-06-10,1.0
2005-06-17,1.0
2005-06-24,1.0
2005-07-01,1.0
2005-07-08,1.0
2005-07-15,1.0
2005-07-22,1.0
2005-07-29,1.0
2005-08-05,1.0
2005-08-12,1.0
2005-08-19,1.0
2005-08-26,1.0
2005-09-02,1.0
2005-09-09,1.0
2005-09-16,1.0
2005-09-23,1.0
2005-09-30,1.0
2005-10-07,1.0
2005-10-14,1.0
2005-10-21,1.0
2005-10-28,1.0
2005-11-04,1.0
2005-11-11,1.0
2005-11-18,1.0
2005-11-25,1.0
2005-12-02,1.0
2005-12-09,1.0
2005-12-16,1.0
2005-12-23,1.0
2005-12-30,1.0
2006-01-06,1.0
2006-01-13,1.0
2006-01-20,1.0
2006-01-27,1.0
2006-02-03,1.0
2006-02-10,1.0
2006-02-17,1.0
2006-02-24,1.0
2006-03-03,1.0
2006-03-10,1.0
2006-03-17,1.0
2006-03-24,1.0
2006-03-31,1.0
2006-04-07,1.0
2006-04-14,1.0
2006-04-21,1.0
2006-04-28,1.0
2006-05-05,1.0
2006-05-12,1.0
2006-05-19,1.0
2006-05-26,1.0
2006-06-02,1.0
2006-06-09,1.0
2006-06-16,1.0
2006-06-23,1.0
2006-06-30,1.0
2006-07-07,1.0
2006-07-14,1.0
2006-07-21,1.0
2006-07-28,1.0
2006-08-04,1.0
2006-08-11,1.0
2006-08-18,1.0
2006-08-25,1.0
2006-09-01,1.0
2006-09-08,1.0
2006-09-15,1.0
2006-09-22,1.0
2006-09-29,1.0
2006-10-06,1.0
2006-10-13,1.0
2006-10-20,1.0
2006-10-27,1.0
2006-11-03,1.0
2006-11-10,1.0
2006-11-17,1.0
2006-11-24,1.0
2006-12-01,1.0
2006-12-08,1.0
2006-12-15,1.0
2006-12-22,1.0
2006-12-29,1.0
2007-01-05,1.0
2007-01-12,1.0
2007-01-19,1.0
2007-01-26,1.0
2007-02-02,1.0
2007-02-09,1.0
2007-02-16,1.0
2007-02-23,1.0
2007-03-02,1.0
2007-03-09,1.0
2007-03-16,1.0
2007-03-23,1.0
2007-03-30,1.0
2007-04-06,1.0
2007-04-13,1.0
2007-04-20,1.0
2007-04-27,1.0
2007-05-04,1.0
2007-05-11,1.0
2007-05-18,1.0
2007-05-25,1.0
2007-06-01,1.0
2007-06-08,1.0
2007-06-15,1.0
2007-06-22,1.0
2007-06-29,1.0
2007-07-06,1.0
2007-07-13,1.0
2007-07-20,1.0
2007-07-27,1.0
2007-08-03,1.0
2007-08-10,1.0
2007-08-17,1.0
2007-08-24,1.0
2007-08-31,1.0
2007-09-07,1.0
2007-09-14,1.0
2007-09-21,1.0
2007-09-28,1.0
2007-10-05,1.0
2007-10-12,1.0
2007-10-19,1.0
2007-10-26,1.0
2007-11-02,1.0
2007-11-09,1.0
2007-11-16,1.0
2007-11-23,1.0
2007-11-30,1.0
2007-12-07,1.0
2007-12-14,1.0
2007-12-21,1.0
2007-12-28,1.0
2008-01-04,1.0
2008-01-11,1.0
2008-01-18,1.0
2008-01-25,1.0
2008-02-01,1.0
2008-02-08,1.0
2008-02-15,1.0
2008-02-22,1.0
2008-02-29,1.0
2008-03-07,1.0
2008-03-14,1.0
2008-03-21,1.0
2008-03-28,1.0
2008-04-04,1.0
2008-04-11,1.0
2008-04-18,1.0
2008-04-25,1.0
2008-05-02,1.0
2008-05-09,1.0
2008-05-16,1.0
2008-05-23,1.0
2008-05-30,1.0
2008-06-06,1.0
2008-06-13,1.0
2008-06-20,1.0
2008-06-27,1.0
2008-07-04,1.0
2008-07-11,1.0
2008-07-18,1.0
2008-07-25,1.0
2008-08-01,1.0
2008-08-08,1.0
2008-08-15,1.0
2008-08-22,1.0
2008-08-29,1.0
2008-09-05,1.0
2008-09-12,1.0
2008-09-19,1.0
2008-09-26,1.0
2008-10-03,1.0
2008-10-10,1.0
2008-10-17,1.0
2008-10-24,1.0
2008-10-31,1.0
2008-11-07,1.0
2008-11-14,1.0
2008-11-21,1.0
2008-11-28,1.0
2008-12-05,1.0
2008-12-12,1.0
2008-12-19,1.0
2008-12-26,1.0
2009-01-02,1.0
2009-01-09,1.0
2009-01-16,1.0
2009-01-23,1.0
2009-01-30,1.0
2009-02-06,1.0
2009-02-13,1.0
2009-02-20,1.0
2009-02-27,1.0
2009-03-06,1.0
2009-03-13,1.0
2009-03-20,1.0
2009-03-27,1.0
2009-04-03,1.0
2009-04-10,1.0
2009-04-17,1.0
2009-04-24,1.0
2009-05-01,1.0
2009-05-08,1.0
2009-05-15,1.0
2009-05-22,1.0
2009-05-29,1.0
2009-06-05,1.0
2009-06-12,1.0
2009-06-19,1.0
2009-06-26,1.0
2009-07-03,1.0
2009-07-10,1.0
2009-07-17,1.0
2009-07-24,1.0
2009-07-31,1.0
2009-08-07,1.0
2009-08-14,1.0
2009-08-21,1.0
2009-08-28,1.0
2009-09-04,1.0
2009-09-11,1.0
2009-09-18,1.0
2009-09-25,1.0
2009-10-02,1.0
2009-10-09,1.0
2009-10-16,1.0
2009-10-23,1.0
2009-10-30,1.0
2009-11-06,1.0
2009-11-13,1.0
2009-11-20,1.0
2009-11-27,1.0
2009-12-04,1.0
2009-12-11,1.0
2009-12-18,1.0
2009-12-25,1.0
2010-01-01,1.0
2010-01-08,1.0
2010-01-15,1.0
2010-01-22,1.0
2010-01-29,1.0
2010-02-05,1.0
2010-02-12,1.0
2010-02-19,1.0
2010-02-26,1.0
2010-03-05,1.0
2010-03-12,1.0
2010-03-19,1.0
2010-03-26,1.0
2010-04-02,1.0
2010-04-09,1.0
2010-04-16,1.0
2010-04-23,1.0
2010-04-30,1.0
2010-05-07,1.0
2010-05-14,1.0021982954819573
2010-05-21,1.0021982954819573
2010-05-28,1.0021982954819573
2010-06-04,1.0035348819798564
2010-06-11,1.0035348819798564
2010-06-18,1.0060661923736947
2010-06-25,1.0061585124587096
2010-07-02,1.0074227578812063
2010-07-09,1.0098114091733428
2010-07-16,1.0115453310143898
2010-07-23,1.0115453310143898
2010-07-30,1.0159753949451116
2010-08-06,1.0159753949451116
2010-08-13,1.0159753949451116
2010-08-20,1.0159753949451116
2010-08-27,1.0159753949451116
2010-09-03,1.0189530934560262
2010-09-10,1.0206693908606606
2010-09-17,1.0213606401273736
2010-09-24,1.02329599811232
2010-10-01,1.0260054972628123
2010-10-08,1.026293707110987
2010-10-15,1.026293707110987
2010-10-22,1.026293707110987
2010-10-29,1.027291407242936
2010-11-05,1.028795193927697
2010-11-12,1.0304446657280946
2010-11-19,1.032588027755173
2010-11-26,1.032588027755173
2010-12-03,1.0326823011760191
2010-12-10,1.0326823011760191
2010-12-17,1.0347384884819208
2010-12-24,1.0375165774863973
2010-12-31,1.037995743366935
2011-01-07,1.0404891544619066
2011-01-14,1.0404891544619066
2011-01-21,1.0410826177753612
2011-01-28,1.0449592702754458
2011-02-04,1.0449592702754458
2011-02-11,1.0495017714892803
2011-02-18,1.0504770158433787
2011-02-25,1.0504770158433787
2011-03-04,1.0504770158433787
2011-03-11,1.0504770158433787
2011-03-18,1.0504770158433787
2011-03-25,1.0503181191186388
2011-04-01,1.0503181191186388
2011-04-08,1.0531096187914546
2011-04-15,1.0552143954141808
2011-04-22,1.0552143954141808
2011-04-29,1.0554396586253585
2011-05-06,1.0554396586253585
2011-05-13,1.0579439113189844
2011-05-20,1.0579439113189844
2011-05-27,1.0584329975770015
2011-06-03,1.0584329975770015
2011-06-10,1.0584329975770015
2011-06-17,1.0584329975770015
2011-06-24,1.0597629547971208
2011-07-01,1.0622745478899915
2011-07-08,1.062851467949513
2011-07-15,1.0628514679495127
2011-07-22,1.0664978320870406
2011-07-29,1.0664978320870406
2011-08-05,1.0664978320870406
2011-08-12,1.0664978320870406
2011-08-19,1.0664978320870406
2011-08-26,1.0664978320870406
2011-09-02,1.0664978320870406
2011-09-09,1.0664572170380548
2011-09-16,1.0664572170380548
2011-09-23,1.0664572170380548
2011-09-30,1.0684739448516136
2011-10-07,1.0684739448516136
2011-10-14,1.0684739448516136
2011-10-21,1.0684739448516136
2011-10-28,1.0780824554403685
2011-11-04,1.0780824554403685
2011-11-11,1.0780824554403685
2011-11-18,1.0780824554403685
2011-11-25,1.0780824554403685
2011-12-02,1.0830901439737517
2011-12-09,1.0840837796008582
2011-12-16,1.0840837796008582
2011-12-23,1.0866248874753626
2011-12-30,1.0866248874753628
2012-01-06,1.089189300477307
2012-01-13,1.092021512182769
2012-01-20,1.0937424326158105
2012-01-27,1.0939848586282064
2012-02-03,1.0939848586282064
2012-02-10,1.0997542556398923
2012-02-17,1.0993367493156467
2012-02-24,1.0993367493156467
2012-03-02,1.1047744740837946
2012-03-09,1.1049484628941315
2012-03-16,1.1071329660784548
2012-03-23,1.1102115127847805
2012-03-30,1.1112187138287333
2012-04-06,1.1112187138287333
2012-04-13,1.1112187138287333
2012-04-20,1.1112187138287333
2012-04-27,1.1130132931192278
2012-05-04,1.113767865923638
2012-05-11,1.113767865923638
2012-05-18,1.113767865923638
2012-05-25,1.113767865923638
2012-06-01,1.113767865923638
2012-06-08,1.1137678659236383
2012-06-15,1.1130057680838519
2012-06-22,1.1140618210950297
2012-06-29,1.1140618210950297
2012-07-06,1.1160930653626218
2012-07-13,1.118794021174256
2012-07-20,1.1214517712109535
2012-07-27,1.1214517712109537
2012-08-03,1.12584717533697
2012-08-10,1.12683951242126
2012-08-17,1.1288509172496193
2012-08-24,1.1323238153785897
2012-08-31,1.13232381537859
2012-09-07,1.1332708366243298
2012-09-14,1.134576507114522
2012-09-21,1.1356534926188868
2012-09-28,1.1386561174299024
2012-10-05,1.1386561174299021
2012-10-12,1.14011480466134
2012-10-19,1.14011480466134
2012-10-26,1.14093437475092
2012-11-02,1.1426580894321101
2012-11-09,1.1426580894321101
2012-11-16,1.1426580894321101
2012-11-23,1.1426580894321101
2012-11-30,1.144577825920278
2012-12-07,1.1451773063964856
2012-12-14,1.146082087662918
2012-12-21,1.1483672539275316
2012-12-28,1.1486319759266874
2013-01-04,1.1523582855289083
2013-01-11,1.153551008120197
2013-01-18,1.1549430673106105
2013-01-25,1.1549430673106105
2013-02-01,1.155948280639768
2013-02-08,1.1564537494898128
2013-02-15,1.1574203635467089
2013-02-22,1.1581109663690736
2013-03-01,1.159009922499664
2013-03-08,1.160285468671305
2013-03-15,1.1621824079517047
2013-03-22,1.1627274761147162
2013-03-29,1.1629806243496852
2013-04-05,1.1629806243496852
2013-04-12,1.1629806243496852
2013-04-19,1.1629806243496852
2013-04-26,1.16387811695214
2013-05-03,1.1643781589042057
2013-05-10,1.1660457941526743
2013-05-17,1.1678197730605389
2013-05-24,1.1686589429741574
2013-05-31,1.1686589429741574
2013-06-07,1.1686589429741574
2013-06-14,1.1686589429741574
2013-06-21,1.1686589429741574
2013-06-28,1.1686589429741576
2013-07-05,1.1693302865709754
2013-07-12,1.170726047828706
2013-07-19,1.1713094120683512
2013-07-26,1.171876189941067
