,SPY,SSO,SPXL,GLD,TLT,DBC,UUP,BTAL
2011-10-03,109.92,4.4775,,160.96,123.76,25.59,22.52,26.4
2011-10-04,112.23,4.6537,,157.63,122.27,25.58,22.42,26.36
2011-10-05,114.44,4.8438,,159.46,121.37,25.94,22.35,25.96
2011-10-06,116.49,5.0163,,160.55,119.15,26.48,22.22,25.21
2011-10-07,115.71,4.95,,159.18,118.25,26.34,22.27,
2011-10-10,119.61,5.2813,,163.28,116.57,26.96,21.91,25.03
2011-10-11,119.7,5.2913,,162.19,116.22,27.14,21.9,
2011-10-12,120.72,5.3825,,163.22,114.51,27.18,21.755,
2011-10-13,120.51,5.3613,,162.29,115.6,27.25,21.755,24.5519
2011-10-14,122.57,5.5475,,163.44,113.95,27.87,21.65,
2011-10-17,120.23,5.335,,162.59,115.9,27.46,21.795,
2011-10-18,122.58,5.5375,,161.84,115.2,27.63,21.755,
2011-10-19,121.13,5.4088,,159.87,115.16,27.05,21.78,
2011-10-20,121.65,5.4588,,157.72,114.33,27.05,21.73,24.45
2011-10-21,123.88,5.6588,,159.53,113.14,27.18,21.535,
2011-10-24,125.49,5.8025,,160.94,113.31,27.61,21.48,23.4
2011-10-25,123.04,5.5788,,165.6,116.16,27.695,21.52,23.5
2011-10-26,124.31,5.6925,,167.39,114.19,27.53,21.505,23.4
2011-10-27,128.63,6.0825,,169.56,110.3,28.28,21.145,22.0
2011-10-28,128.68,6.0912,,169.67,111.38,28.17,21.16,21.75
2011-10-31,125.35,5.7863,,167.23,115.84,27.72,21.57,22.32
2011-11-01,122.04,5.4725,,167.38,119.7495,27.43,21.79,23.0
2011-11-02,123.99,5.65,,169.0,118.2958,27.565,21.75,
2011-11-03,126.25,5.8475,,171.7,116.6517,27.9,21.65,22.73
2011-11-04,125.43,5.7787,,170.85,116.772,28.0,21.72,22.5
2011-11-07,126.26,5.85,,174.97,117.5339,28.4,21.69,22.55
2011-11-08,127.88,5.9988,,173.55,116.0201,28.54,21.6,
2011-11-09,123.16,5.5525,,172.12,118.4161,27.91,21.97,
2011-11-10,124.32,5.6625,,171.14,116.6818,27.89,21.91,
2011-11-11,126.68,5.8775,,173.96,115.9199,28.13,21.685,
2011-11-14,125.45,5.7638,,173.21,117.7645,27.83,21.85,22.8
2011-11-15,126.13,5.825,,173.38,117.6542,28.05,21.97,
2011-11-16,124.08,5.6388,,171.55,118.7169,27.95,22.04,22.9
2011-11-17,122.16,5.4563,,167.14,119.6392,27.33,22.08,23.15
2011-11-18,122.0,5.445,,167.65,119.6392,27.28,22.0,23.78
2011-11-21,119.63,5.235,,163.63,120.3409,27.09,22.06,23.2501
2011-11-22,119.19,5.1925,,165.3,121.6943,27.28,22.05,
2011-11-23,116.6,4.9638,,164.86,122.8773,26.89,22.29,
2011-11-25,116.28,4.9413,,163.39,121.0427,26.64,22.42,
2011-11-28,119.73,5.2288,,166.61,121.0327,26.99,22.32,24.16
2011-11-29,120.05,5.26,,166.92,120.0502,27.29,22.25,
2011-11-30,124.99,5.6913,,170.03,118.1755,27.62,22.06,23.3576
2011-12-01,124.97,5.69,,169.63,117.5839,27.56,22.04,23.2632
2011-12-02,124.84,5.6863,,169.82,119.2321,27.79,22.13,
