,NAV_Filter,NAV_NoFilter,NAV_Filter_10%,NAV_NoFilt_10%
2013-01-02,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-04,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-07,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-08,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-09,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-10,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-11,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-14,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-15,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-16,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-17,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-18,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-22,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-23,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-24,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-25,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-28,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-29,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-30,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-31,999650.0,999500.0,999737.0646414215,999672.4969878917
2013-02-01,998230.3413321034,1006707.2651291678,998670.4618653172,1004394.1137971282
2013-02-04,1000603.2311690071,999321.3593426415,1000453.8667952172,999567.4170475497
2013-02-05,999894.9663554868,1007250.024467312,999921.8666132953,1004762.0191932423
2013-02-06,1001642.0145564891,1010000.7986601203,1001234.361194452,1006559.3423050421
2013-02-07,1001123.6249512604,1008170.4242353525,1000845.0826702708,1005364.5211593121
2013-02-08,1002443.4235988632,1014393.7136881792,1001836.2974671917,1009429.4682542237
2013-02-11,1000377.0557855417,1012157.332514229,1000284.8914628793,1007971.7937701173
2013-02-12,999416.9163089992,1012827.2228070035,999563.6590085622,1008408.7614668891
