,DD_Filter,DD_NoFilter
2013-01-02,0.0,0.0
2013-01-03,0.0,0.0
2013-01-04,0.0,0.0
2013-01-07,0.0,0.0
2013-01-08,0.0,0.0
2013-01-09,0.0,0.0
2013-01-10,0.0,0.0
2013-01-11,0.0,0.0
2013-01-14,0.0,0.0
2013-01-15,0.0,0.0
2013-01-16,0.0,0.0
2013-01-17,0.0,0.0
2013-01-18,0.0,0.0
2013-01-22,0.0,0.0
2013-01-23,0.0,0.0
2013-01-24,0.0,0.0
2013-01-25,0.0,0.0
2013-01-28,0.0,0.0
2013-01-29,0.0,0.0
2013-01-30,0.0,0.0
2013-01-31,-0.0004999999999999449,-0.0004999999999999449
2013-02-01,0.0,0.0
2013-02-04,-0.007336696617142868,-0.007336696617142868
2013-02-05,0.0,0.0
2013-02-06,0.0,0.0
2013-02-07,-0.0018122504726689748,-0.0018122504726689748
2013-02-08,0.0,0.0
2013-02-11,-0.0022046481004096563,-0.0022046481004096563
2013-02-12,-0.0015442631988323852,-0.0015442631988323852
2013-02-13,-0.002623820230789109,-0.002623820230789109
2013-02-14,-0.0009893179247190131,-0.0009893179247190131
2013-02-15,-0.006346997883550531,-0.006346997883550531
2013-02-19,-0.0007597777554889662,-0.0007597777554889662
2013-02-20,-0.013735501424967045,-0.013735501424967045
2013-02-21,-0.01599325250778949,-0.01599325250778949
2013-02-22,-0.00705288175465224,-0.00705288175465224
2013-02-25,-0.020300681626650552,-0.020300681626650552
2013-02-26,-0.011261843097661428,-0.011261843097661428
2013-02-27,-0.004069276639725783,-0.004069276639725783
2013-02-28,-0.007467318674550083,-0.007467318674550083
2013-03-01,-0.004502412092561192,-0.004502412092561192
2013-03-04,-0.0014609448550882975,-0.0014609448550882975
2013-03-05,0.0,0.0
2013-03-06,0.0,0.0
2013-03-07,0.0,0.0
2013-03-08,0.0,0.0
2013-03-11,0.0,0.0
2013-03-12,-0.0019699215074486798,-0.0019699215074486798
2013-03-13,-0.0006906783220821389,-0.0006906783220821389
2013-03-14,0.0,0.0
2013-03-15,-0.001011310650685604,-0.001011310650685604
2013-03-18,-0.0034633002439649063,-0.0034633002439649063
2013-03-19,-0.0011289222195087767,-0.0011289222195087767
2013-03-20,0.0,0.0
2013-03-21,-0.004918810636850068,-0.004918810636850068
2013-03-22,0.0,0.0
2013-03-25,-0.0022419851529515977,-0.0022419851529515977
2013-03-26,0.0,0.0
2013-03-27,0.0,0.0
2013-03-28,-0.0004255048924174387,-0.0004255048924174387
