,NAV_Filter,NAV_NoFilter,NAV_Filter_10%,NAV_NoFilt_10%
2013-01-02,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-04,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-07,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-08,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-09,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-10,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-11,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-14,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-15,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-16,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-17,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-18,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-22,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-23,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-24,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-25,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-28,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-29,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-30,1000000.0,1000000.0,1000000.0,1000000.0
2013-01-31,999500.0,999500.0,999627.2816676145,999672.5480684523
2013-02-01,1006707.2651291678,1006707.2651291678,1005000.5255180623,1004393.4286895535
2013-02-04,999321.3593426415,999321.3593426415,999504.1347739784,999567.4880504519
2013-02-05,1007250.024467312,1007250.024467312,1005415.5334550701,1004761.2803643176
2013-02-06,1010000.7986601203,1010000.7986601203,1007462.3267957544,1006558.3218266792
2013-02-07,1008170.4242353525,1008170.4242353525,1006101.3278564755,1005363.6882480505
2013-02-08,1014393.7136881792,1014393.7136881792,1010730.8751007238,1009427.9979670602
2013-02-11,1012157.332514229,1012157.332514229,1009069.8141796937,1007970.5529589165
2013-02-12,1012827.2228070035,1012827.2228070035,1009567.6516985807,1008407.4519641264
